year,stateA,stateB,totalStateA,totalStateB,totalsmoth,importance
1956.0,200.0,651.0,18940.0,939.2000122,83.400002,0.004403379197465681
1956.0,310.0,365.0,968.1000060999999,7227.600098,240.29998999999998,0.033247549219898746
1962.0,710.0,750.0,2660.0,3700.7,2.9000001,0.0007836355554354582
1963.0,40.0,560.0,13.5,,0.0,0.0
1963.0,40.0,560.0,13.5,,0.0,0.0
1963.0,40.0,560.0,13.5,,0.0,0.0
1963.0,40.0,560.0,13.5,,0.0,0.0
1963.0,40.0,520.0,13.5,76.6,0.0,0.0
1965.0,750.0,770.0,4424.4,1558.7,47.5,0.010735918994665944
1965.0,2.0,816.0,50291.7,163.323,164.90601,0.003278990569020336
1965.0,816.0,900.0,163.323,6576.75,4.6999998,0.0007146386589120766
1965.0,732.0,816.0,625.8,163.323,14.8,0.023649728347714928
1966.0,816.0,840.0,237.17600000000002,1794.7,1.3,0.0007243550454114894
1967.0,800.0,816.0,1742.0,118.306,10.7,0.006142365097588978
1967.0,651.0,666.0,1357.9,1308.0,0.0,0.0
1967.0,812.0,816.0,53.63,118.306,0.0020000001,1.6905314185248424e-05
1969.0,651.0,666.0,1412.54,2390.7,0.0,0.0
1969.0,91.0,92.0,350.885,409.769,19.742001000000002,0.04817836634786917
1970.0,811.0,816.0,89.50999999999999,257.192,4.9499998,0.01924632103642415
1971.0,750.0,770.0,4518.34,1581.02,0.34,7.52488745866845e-05
1972.0,811.0,816.0,86.590001587,395.18499999999995,0.09399999699999999,0.0002378632716322735
1973.0,651.0,666.0,2032.95,5698.87,0.0,0.0
1974.0,350.0,640.0,6436.09,5308.74,41.040001000000004,0.006376542434925553
1974.0,352.0,640.0,567.979,5308.74,5.7639999,0.0010857566767255508
1975.0,490.0,540.0,1797.4,,8.6000004,0.004784689217758985
1975.0,490.0,540.0,1797.4,,8.6000004,0.004784689217758985
1975.0,490.0,540.0,1797.4,,8.6000004,0.004784689217758985
1975.0,490.0,540.0,1797.4,,8.6000004,0.004784689217758985
1977.0,520.0,530.0,289.422,684.438,5.7379999,0.0083835203480812
1978.0,630.0,645.0,32473.0,15273.4,21.4,0.0006590090228805469
1978.0,500.0,510.0,491.02199999999993,1572.1170000000002,1.9760001,0.0012569039708876628
1979.0,510.0,620.0,1618.651,21395.9,0.011000000000000001,5.141171906767184e-07
1979.0,710.0,816.0,29113.6,1100.1900024,0.0,0.0
1982.0,160.0,200.0,12963.630000000001,196534.2,175.62,0.0008935849333093171
1987.0,710.0,816.0,82684.7,3309.297,0.0,0.0
1987.0,483.0,620.0,178.65514893,12386.445,0.0,0.0
1987.0,40.0,560.0,3372.450369,,0.0,0.0
1987.0,540.0,560.0,3424.6181890000003,,0.0,0.0
1987.0,540.0,560.0,3424.6181890000003,,0.0,0.0
1987.0,540.0,560.0,3424.6181890000003,,0.0,0.0
1987.0,40.0,560.0,3372.450369,,0.0,0.0
1987.0,40.0,560.0,3372.450369,,0.0,0.0
1987.0,40.0,560.0,3372.450369,,0.0,0.0
1987.0,540.0,560.0,3424.6181890000003,,0.0,0.0
1991.0,220.0,645.0,447540.76269999996,909.9703144999999,20.981274,4.6881258085678284e-05
1991.0,2.0,645.0,931176.8,909.9703144999999,0.41999999,4.510421544007539e-07
1991.0,20.0,645.0,258658.6626,909.9703144999999,144.69847,0.00055941861194793
1991.0,200.0,645.0,394910.6398,909.9703144999999,372.51489,0.0009432890696200482
1991.0,645.0,651.0,909.9703144999999,11521.225,4.1616998,0.00036122025218672494
1991.0,645.0,652.0,909.9703144999999,6175.424499000001,0.02610245,4.2268268366371935e-06
1991.0,645.0,670.0,909.9703144999999,76890.28812,0.20341789999999998,2.6455603818590556e-06
1991.0,325.0,645.0,352234.8088,909.9703144999999,17.257174,4.899338046342454e-05
1992.0,2.0,345.0,999999.2000000001,23308.59648,836.21002,0.0008362106889685511
1993.0,371.0,373.0,429.76773330000003,1628.6335235000001,0.0482,2.9595362802317997e-05
1999.0,750.0,770.0,83822.125,18741.397222,238.87222000000003,0.002849751423028228
2001.0,2.0,700.0,1911197.1,640.29655167,53.849998,2.8176056776143075e-05
2001.0,200.0,700.0,591422.0915999999,640.29655167,6.8751311,1.1624745165335994e-05
2003.0,2.0,645.0,2029103.0,12713.669921,5260.2598,0.002592406496860928
2003.0,200.0,645.0,689590.9393,12713.669921,237.90767999999997,0.0003449982684539022
2003.0,645.0,900.0,12713.669921,164112.96521,403.22156,0.0024569756538371916
