warnum,disno,dyindex,statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,changes_1,changes_2,batdths,durindx,a_latitude,a_longitude,b_latitude,b_longitude
49,1590,1590.001,150,140,12,23,1864,3,1,1870,1868,1,3,1,3,3,200000,100000,,,300000,2,-23.3165935,-58.1693445,-10.3333333,-53.2
49,1590,1590.001,150,140,12,23,1864,3,1,1870,1869,1,3,1,3,3,200000,100000,,,300000,7,-23.3165935,-58.1693445,-10.3333333,-53.2
49,1590,1590.001,150,140,12,23,1864,3,1,1870,1870,1,3,1,3,3,200000,100000,,,300000,6,-23.3165935,-58.1693445,-10.3333333,-53.2
49,1590,1590.002,150,160,4,13,1865,3,1,1870,1865,1,4,1,3,3,200000,10000,,,210000,5,-23.3165935,-58.1693445,-34.9964963,-64.9672817
49,1590,1590.002,150,160,4,13,1865,3,1,1870,1866,1,4,1,3,3,200000,10000,,,210000,4,-23.3165935,-58.1693445,-34.9964963,-64.9672817
49,1590,1590.002,150,160,4,13,1865,3,1,1870,1867,1,4,1,3,3,200000,10000,,,210000,1,-23.3165935,-58.1693445,-34.9964963,-64.9672817
49,1590,1590.002,150,160,4,13,1865,3,1,1870,1868,1,4,1,3,3,200000,10000,,,210000,3,-23.3165935,-58.1693445,-34.9964963,-64.9672817
49,1590,1590.002,150,160,4,13,1865,3,1,1870,1869,1,4,1,3,3,200000,10000,,,210000,6,-23.3165935,-58.1693445,-34.9964963,-64.9672817
49,1590,1590.002,150,160,4,13,1865,3,1,1870,1870,1,4,1,3,3,200000,10000,,,210000,2,-23.3165935,-58.1693445,-34.9964963,-64.9672817
49,1590,1590.002,160,150,4,13,1865,3,1,1870,1865,4,1,3,1,1,10000,200000,,,210000,6,-34.9964963,-64.9672817,-23.3165935,-58.1693445
49,1590,1590.002,160,150,4,13,1865,3,1,1870,1866,4,1,3,1,1,10000,200000,,,210000,5,-34.9964963,-64.9672817,-23.3165935,-58.1693445
49,1590,1590.002,160,150,4,13,1865,3,1,1870,1867,4,1,3,1,1,10000,200000,,,210000,2,-34.9964963,-64.9672817,-23.3165935,-58.1693445
49,1590,1590.002,160,150,4,13,1865,3,1,1870,1868,4,1,3,1,1,10000,200000,,,210000,1,-34.9964963,-64.9672817,-23.3165935,-58.1693445
49,1590,1590.002,160,150,4,13,1865,3,1,1870,1869,4,1,3,1,1,10000,200000,,,210000,3,-34.9964963,-64.9672817,-23.3165935,-58.1693445
49,1590,1590.002,160,150,4,13,1865,3,1,1870,1870,4,1,3,1,1,10000,200000,,,210000,4,-34.9964963,-64.9672817,-23.3165935,-58.1693445
52,1482,1482.002,135,230,1,14,1866,5,9,1866,1866,4,1,3,1,1,600,300,,,900,1,-6.8699697,-75.0458515,39.3262345,-4.8380649
52,1482,1482.002,230,135,1,14,1866,5,9,1866,1866,1,4,1,3,3,300,600,,,900,1,39.3262345,-4.8380649,-6.8699697,-75.0458515
52,1482,1482.004,155,230,11,26,1865,5,9,1866,1865,3,1,1,3,1,100,300,,,400,2,-31.7613365,-71.3187697,39.3262345,-4.8380649
52,1482,1482.004,155,230,11,26,1865,5,9,1866,1866,3,1,1,3,1,100,300,,,400,1,-31.7613365,-71.3187697,39.3262345,-4.8380649
52,1482,1482.004,230,155,11,26,1865,5,9,1866,1865,1,3,3,1,3,300,100,,,400,2,39.3262345,-4.8380649,-31.7613365,-71.3187697
52,1482,1482.004,230,155,11,26,1865,5,9,1866,1866,1,3,3,1,3,300,100,,,400,1,39.3262345,-4.8380649,-31.7613365,-71.3187697
55,261,261.001,240,255,6,27,1866,7,3,1866,1866,3,1,3,1,3,500,10100,,,10600,1,52.3744779,9.7385532,51.0834196,10.4234469
55,261,261.001,255,240,6,27,1866,7,3,1866,1866,1,3,1,3,1,10100,500,,,10600,1,51.0834196,10.4234469,52.3744779,9.7385532
